pays,quantité,charbon,gaz,pétrole,hydraulique,renouvelable,nucléaire,%pop,pop
Mexico,301.5,11.2,57.0,10.9,12.9,4.6,3.2,99.2,112468855
Moldova,5.4,0.0,93.5,0.3,5.9,0.3,0.0,100.0,4324000
Mongolia,5.4,92.3,0.0,4.5,0.0,3.2,0.0,85.6,3086918
Montenegro,3.2,44.8,0.0,0.0,55.2,0.0,0.0,100.0,666730
Morocco,28.7,55.0,19.5,13.1,5.7,6.7,0.0,91.6,31627428
Mozambique,17.7,0.0,8.8,0.0,91.2,0.0,0.0,21.2,22061451
Myanmar,14.2,2.0,35.2,0.5,62.4,0.0,0.0,52.0,53414374
Namibia,1.5,0.0,0.0,0.9,99.1,0.0,0.0,49.6,2128471
Nepal,3.8,0.0,0.0,0.0,99.8,0.2,0.0,84.9,28951852
Netherlands,103.4,31.3,49.8,1.8,0.1,11.2,4.0,100.0,16645000
New Zealand,43.6,4.5,16.3,0.0,55.9,23.2,0.0,100.0,4252277
Nicaragua,4.4,0.0,0.0,46.1,8.9,45.0,0.0,81.9,5995928
Niger,0.7,71.6,0.0,27.8,0.0,0.6,0.0,14.3,15878271
Nigeria,30.4,0.0,82.4,0.0,17.6,0.0,0.0,57.7,154000000
Norway,141.6,0.1,1.8,0.0,96.0,1.7,0.0,100.0,5009150
Oman,29.1,0.0,97.4,2.6,0.0,0.0,0.0,100.0,2967717
Pakistan,105.3,0.2,25.1,39.7,29.8,0.4,4.8,97.5,184404791
Panama,9.3,7.4,0.0,36.8,54.2,1.6,0.0,91.6,3410676
Paraguay,55.3,0.0,0.0,0.0,100.0,0.0,0.0,99.0,6375830
Peru,45.5,0.7,45.9,1.2,48.8,3.4,0.0,92.9,29907003
Philippines,77.3,42.8,24.2,7.4,11.8,13.8,0.0,89.1,99900177
Poland,158.5,83.0,3.4,1.0,1.4,11.1,0.0,100.0,38500000
Portugal,52.0,23.0,13.2,2.6,30.0,30.8,0.0,100.0,10676000
Qatar,38.7,0.0,100.0,0.0,0.0,0.0,0.0,100.0,840926
Romania,65.2,27.3,12.4,0.7,28.8,12.8,17.9,100.0,21959278
Russia,1062.3,14.9,50.2,1.0,16.5,0.1,17.0,100.0,140702000
Saudi Arabia,311.8,0.0,51.2,48.8,0.0,0.0,0.0,100.0,25731776
Senegal,3.7,0.0,4.2,83.6,8.7,1.8,0.0,61.0,12323252
Singapore,49.4,1.1,95.3,0.7,0.0,1.7,0.0,100.0,4701069
Slovakia,27.1,12.4,6.0,1.1,15.5,7.4,57.1,100.0,5455000
Slovenia,17.2,21.9,2.2,0.2,35.5,3.0,37.1,100.0,2007000
South Africa,249.5,93.0,0.0,0.1,0.4,1.0,5.5,86.0,49000000
South Sudan,0.5,0.0,0.0,99.6,0.0,0.4,0.0,4.5,8260490
Spain,274.9,16.5,17.2,5.1,14.2,25.9,20.8,100.0,46505963
Sri Lanka,12.5,25.7,0.0,35.1,36.5,2.7,0.0,92.2,21513990
Sudan,11.4,0.0,0.0,21.7,78.3,0.0,0.0,44.9,35000000
Suriname,2.2,0.0,0.0,37.7,62.3,0.0,0.0,100.0,492829
Sweden,153.6,0.6,0.3,0.2,41.5,14.3,42.3,100.0,9555893
Switzerland,70.1,0.0,0.7,0.1,54.3,3.8,39.3,100.0,7581000
Syria,21.7,0.0,64.4,21.8,13.8,0.0,0.0,95.8,22198110
Tajikistan,16.5,0.0,2.9,0.0,97.1,0.0,0.0,100.0,7487489
Thailand,173.6,21.6,68.3,1.0,3.2,5.9,0.0,100.0,67089500
Togo,0.1,0.0,0.0,12.0,84.5,3.5,0.0,45.7,6587239
Trinidad and Tobago,9.9,0.0,99.8,0.2,0.0,0.0,0.0,100.0,1228691
Tunisia,19.0,0.0,94.2,1.8,0.3,2.8,0.0,99.8,10589025
Turkey,252.0,30.3,47.9,0.9,16.1,4.8,0.0,100.0,77804122
Turkmenistan,20.4,0.0,100.0,0.0,0.0,0.0,0.0,100.0,4940916
Ukraine,182.0,38.7,7.0,0.1,4.7,0.9,48.6,100.0,45415596
United Arab Emirates,110.0,0.0,98.4,1.3,0.0,0.3,0.0,100.0,4975593
United Kingdom,336.0,30.4,30.0,0.5,1.8,17.7,19.0,100.0,62348447
United States,4319.2,39.7,26.9,0.9,6.1,6.9,19.2,100.0,310232863
Uruguay,13.0,0.0,0.0,9.1,74.2,16.8,0.0,99.7,3477000
Uzbekistan,55.4,4.1,74.2,0.4,21.4,0.0,0.0,100.0,27865738
Venezuela,127.7,0.0,17.7,14.0,68.3,0.0,0.0,99.1,27223228
Vietnam,140.9,24.5,33.5,0.3,41.5,0.1,0.0,99.2,89571130
Yemen,7.6,0.0,38.6,61.4,0.0,0.0,0.0,72.0,23495361
Zambia,14.5,0.0,0.0,2.8,97.2,0.0,0.0,27.9,13460305
Zimbabwe,10.0,43.9,0.0,0.5,54.2,1.4,0.0,32.3,11651858
