Date,DOM,BDOM,xGD,BEXT,xGE,EXT
2022-10-09,Brest,1.0,0.9,2.0,1.1,Lorient
2022-10-09,Angers,2.0,2.1,3.0,2.0,Strasbourg
2022-10-09,Clermont Foot,2.0,1.1,1.0,1.0,Auxerre
2022-10-09,Nice,3.0,2.6,2.0,1.5,Troyes
2022-10-09,Rennes,3.0,1.8,0.0,0.5,Nantes
2022-10-09,Lille,1.0,2.6,0.0,1.2,Lens
2022-10-14,Strasbourg,0.0,0.6,3.0,2.3,Lille
2022-10-15,Lorient,0.0,0.8,0.0,0.6,Reims
2022-10-15,Lens,1.0,1.8,0.0,0.7,Montpellier
2022-10-16,Toulouse,3.0,2.4,2.0,1.2,Angers
2022-10-16,Rennes,3.0,1.6,2.0,1.1,Lyon
2022-10-16,Troyes,1.0,0.6,1.0,2.4,Ajaccio
2022-10-16,Auxerre,1.0,0.8,1.0,1.6,Nice
2022-10-16,Nantes,4.0,2.9,1.0,0.7,Brest
2022-10-16,Monaco,1.0,1.1,1.0,1.9,Clermont Foot
2022-10-16,Paris S-G,1.0,2.5,0.0,1.2,Marseille
2022-10-21,Ajaccio,0.0,0.3,3.0,2.5,Paris S-G
2022-10-22,Montpellier,1.0,1.1,2.0,2.7,Lyon
2022-10-22,Marseille,0.0,1.8,1.0,0.9,Lens
2022-10-23,Angers,1.0,1.2,2.0,2.2,Rennes
2022-10-23,Troyes,2.0,0.8,2.0,1.4,Lorient
2022-10-23,Clermont Foot,1.0,1.0,3.0,3.0,Brest
2022-10-23,Reims,2.0,2.4,1.0,0.7,Auxerre
2022-10-23,Toulouse,2.0,2.2,2.0,1.8,Strasbourg
2022-10-23,Nice,1.0,1.4,1.0,1.0,Nantes
2022-10-23,Lille,4.0,2.5,3.0,1.1,Monaco
2022-10-28,Lens,3.0,2.4,0.0,0.7,Toulouse
2022-10-29,Paris S-G,4.0,2.9,3.0,2.0,Troyes
2022-10-29,Strasbourg,2.0,1.1,2.0,2.0,Marseille
2022-10-30,Auxerre,1.0,1.5,0.0,0.4,Ajaccio
2022-10-30,Rennes,3.0,1.2,0.0,0.9,Montpellier
2022-10-30,Monaco,2.0,1.8,0.0,0.6,Angers
2022-10-30,Brest,0.0,1.5,0.0,1.0,Reims
2022-10-30,Nantes,1.0,1.7,1.0,0.7,Clermont Foot
2022-10-30,Lorient,1.0,1.8,2.0,1.8,Nice
2022-10-30,Lyon,1.0,1.6,0.0,1.5,Lille
2022-11-04,Troyes,1.0,1.9,1.0,1.4,Auxerre
2022-11-05,Ajaccio,4.0,3.7,2.0,0.9,Strasbourg
2022-11-05,Angers,1.0,0.5,2.0,1.8,Lens
2022-11-06,Lorient,1.0,0.8,2.0,1.6,Paris S-G
2022-11-06,Toulouse,0.0,0.7,2.0,2.4,Monaco
2022-11-06,Reims,1.0,2.8,0.0,0.7,Nantes
2022-11-06,Nice,1.0,1.1,0.0,1.1,Brest
2022-11-06,Clermont Foot,1.0,3.4,1.0,1.2,Montpellier
2022-11-06,Lille,1.0,2.4,1.0,0.9,Rennes
2022-11-06,Marseille,1.0,0.8,0.0,0.9,Lyon
2022-11-11,Lyon,1.0,1.3,1.0,1.6,Nice
2022-11-12,Lens,2.0,1.5,1.0,0.2,Clermont Foot
2022-11-12,Rennes,2.0,2.1,1.0,1.0,Toulouse
2022-11-13,Paris S-G,5.0,2.0,0.0,0.7,Auxerre
2022-11-13,Lille,1.0,0.6,0.0,0.6,Angers
2022-11-13,Montpellier,1.0,1.7,1.0,2.1,Reims
2022-11-13,Brest,2.0,2.4,1.0,1.0,Troyes
2022-11-13,Nantes,2.0,1.1,2.0,2.5,Ajaccio
2022-11-13,Strasbourg,1.0,2.3,1.0,0.5,Lorient
2022-11-13,Monaco,2.0,2.0,3.0,1.9,Marseille
