lon,lat
-124.06939999999997,40.045300000000054
-124.06059999999997,40.032200000000046
-124.04669999999999,40.01400000000007
-124.03539999999998,39.99550000000005
-124.02679999999998,39.971700000000055
-124.01829999999995,39.95040000000006
-124.01069999999999,39.92430000000007
-124.00289999999995,39.89560000000006
-123.99689999999998,39.86650000000003
-123.99409999999995,39.825600000000065
-123.99509999999998,39.80780000000004
-123.99759999999998,39.78100000000006
-123.99959999999999,39.761900000000026
-123.99939999999998,39.74690000000004
-123.99919999999997,39.72810000000004
-123.99849999999998,39.71190000000007
-123.99749999999995,39.695100000000025
-123.99649999999997,39.68080000000003
-123.99309999999997,39.66470000000004
-123.99139999999994,39.655500000000075
-123.98329999999999,39.620400000000075
-123.97279999999995,39.582100000000025
-123.96219999999994,39.542700000000025
-123.9536,39.50950000000006
-123.94109999999995,39.46040000000005
-123.92789999999997,39.41850000000005
-123.91399999999999,39.382400000000075
-123.89829999999995,39.34140000000008
-123.88619999999997,39.30230000000006
-123.87429999999995,39.269400000000076
-123.85399999999998,39.229100000000074
-123.82899999999995,39.18880000000007
-123.81009999999998,39.16100000000006
-123.77999999999997,39.12020000000007
-123.75379999999996,39.08450000000005
-123.72419999999994,39.039300000000026
-123.70479999999998,39.01070000000004
-123.69339999999994,38.99670000000003
-123.66749999999996,38.96150000000006
-123.63839999999999,38.92760000000004
-123.60219999999998,38.88490000000007
-123.55969999999996,38.842700000000036
-123.50899999999996,38.78770000000003
-123.46879999999999,38.741400000000056
-123.42179999999996,38.69540000000006
-123.37239999999997,38.64420000000007
-123.32969999999995,38.60130000000004
-123.28469999999999,38.55490000000003
-123.23509999999999,38.50830000000008
-123.19019999999995,38.46330000000006
-123.15419999999995,38.42730000000006
-123.11899999999997,38.39260000000007
-123.07229999999998,38.34090000000003
-123.03229999999996,38.29570000000007
-122.98349999999999,38.248200000000054
-122.93379999999996,38.19530000000003
-122.90249999999997,38.15840000000003
-122.86849999999998,38.11990000000003
-122.83829999999995,38.08400000000006
-122.79719999999998,38.03570000000008
-122.7661,38.00130000000007
-122.72339999999997,37.95850000000007
-122.68069999999994,37.91080000000005
-122.64349999999996,37.87280000000004
-122.61899999999997,37.853800000000035
-122.59949999999998,37.82230000000004
-122.58129999999994,37.78800000000007
-122.55969999999996,37.74580000000003
-122.53549999999996,37.71280000000007
-122.50969999999995,37.68490000000003
-122.47509999999994,37.649200000000064
-122.44999999999999,37.618400000000065
-122.41619999999995,37.58450000000005
-122.38219999999995,37.54660000000007
-122.35219999999998,37.515100000000075
-122.32299999999998,37.47500000000008
-122.29409999999996,37.45330000000007
-122.26089999999999,37.41130000000004
-122.22869999999995,37.37730000000005
-122.19869999999997,37.344700000000046
-122.16209999999995,37.308200000000056
-122.12179999999995,37.27550000000008
-122.07989999999995,37.24150000000003
